Molecule_ID,InChIKey,SMILES,alpha,beta,delta,gamma
CFMOL_005265,HFYXIEMXPIVPKY-UHFFFAOYSA-N,O=C(Cc1nnc(-c2ccc3c(c2)OCO3)o1)NCc1ccc(F)cc1,200000.0,,,
CFMOL_005266,HGAIYTJSDSVQSK-UHFFFAOYSA-N,Cc1ccc(S(=O)(=O)Nc2c(C)nn(C)c2C)cc1-c1cnc2c(N)ncnn12,,,100.0,100.0
CFMOL_005267,HGAJTKWPNZDTRJ-FQEVSTJZSA-N,O=C(c1nn([C@H]2CCCN(Cc3ccncc3)C2)c2c1CS(=O)(=O)c1ccccc1-2)N1CCOCC1,45.0,45.0,45.0,45.0
CFMOL_005268,HGALDAPNHYJZAJ-UHFFFAOYSA-N,CC(C)n1nc(-c2cnc3ccccc3c2)c2c(N)ncnc21,2800.0,16000.0,400.0,2700.0
CFMOL_005269,HGBGJBHLOOHMDO-UHFFFAOYSA-N,Cc1nc2cnc3ccc(-c4cnc5[nH]ccc5c4)cc3c2n1-c1ccc(N2CCOCC2)cc1,69.0,,156.0,
CFMOL_005270,HGFZYBDLZYGJML-UHFFFAOYSA-N,CS(=O)(=O)c1ccc(-c2ccc3nc(N)sc3c2)cn1,158489.0,39810.7,12589.0,10000.0
CFMOL_005271,HGGJKIJHPCDDPZ-UHFFFAOYSA-N,COc1ncc(-c2nc(N3CCOCC3)nc3c(CN4CCN(CC(F)(F)F)CC4)c(C)sc23)cc1NS(=O)(=O)C1CC1,,,47.0,
CFMOL_005272,HGGKVRQYKXRUFX-QGZVFWFLSA-N,CCC(CC)NC(=O)[C@H](C)Cn1cnc2ccc(-c3cnc(OC)c(NS(=O)(=O)c4ccc(F)cc4Cl)c3)cc2c1=O,19.6,,,
CFMOL_005273,HGGYCOCAUBJWPZ-UHFFFAOYSA-N,NC(=O)c1sc(N2CCOCC2)nc1CC(=O)Nc1ccc(F)c(Cl)c1,8280.0,45.0,227.0,10000.0
CFMOL_005274,HGGYKZNYJJOEKH-UHFFFAOYSA-N,CCc1nc2ccccc2n1-c1nc(N2CCOCC2)c2nc(CN3CCN(C(C)(C)C)CC3)n(C)c2n1,,,1.0,
CFMOL_005275,HGHFRWCKKPQICQ-UHFFFAOYSA-N,COc1ccc(CCO)c(Nc2nc3ccccc3nc2NS(=O)(=O)c2c(C)noc2C)c1,,,,286.0
CFMOL_005276,HGIHNKPHAJMWDI-SNVBAGLBSA-N,C[C@@H]1COC(C)(C)C(=O)N1c1cc(-c2cc(Cl)c3c(N)ncnn23)ccc1F,,,2.0,
CFMOL_005277,HGISQDAVZJLECG-UHFFFAOYSA-N,Cc1nn(C)c(-c2ccccc2)c1Cn1nc(-c2cc(O)cc(F)c2)c2c(N)ncnc21,,,1000.0,
CFMOL_005278,HGIVXNLUGRVOJM-DBIVSCPCSA-N,CCn1c(-c2cnc(C)nc2)nc2c(NC(C(=O)N3C[C@@H](C)O[C@@H](C)C3)C3CC3)ccnc21,,,5.2,
CFMOL_005279,HGJGUYNOVGVHDX-ODLFYWEKSA-N,O=C1/C(=C/c2c(-c3ccccn3)[nH]c3ccccc23)Oc2cc(O)cc(O)c21,3650.0,,,
CFMOL_005280,HGJSZYYEKFUQPI-UHFFFAOYSA-N,COc1ncc2cc1NS(=O)(=O)c1cccc(c1)C(=O)NCc1cc(ccn1)-c1ccnc3ccc-2cc13,6.1,,,
CFMOL_005281,HGKCCAMDJCZSJZ-UHFFFAOYSA-N,Cc1ccc(S(=O)(=O)NC2(C)CNC2)cc1-c1cnc2c(N)nc(C(F)(F)F)nn12,,,100.0,100.0
CFMOL_005282,HGLYXSLZOIRAJP-UHFFFAOYSA-N,Oc1cccc(-c2nc(N3CCOCC3)c3ncn(CC4CCN(Cc5ccccc5)CC4)c3n2)c1,199.0,,,2378.0
CFMOL_005283,HGNALLHPQVVPFT-UHFFFAOYSA-N,COc1cc2ncc3c(c2cc1-c1cnn(C)c1)n(-c1cn[nH]c1C)c(=O)n3C,30000.0,30000.0,30000.0,30000.0
CFMOL_005284,HGOMTYLJLJSWLU-OCKHKDLRSA-N,Cn1cc(/C=C2\Oc3cc(O)cc(O)c3C2=O)c2c(-c3ccccc3)ccnc21,63.0,,,
CFMOL_005285,HGOVTMLLXZBSHZ-UHFFFAOYSA-N,COc1cccc2c1nc(C(F)F)n2-c1nc(N2CCOCC2)nc(N2CCN(C(=S)SCC(=O)N3CCOCC3)CC2)n1,0.7,,,
CFMOL_005286,HGPFUQLQCZVALZ-UHFFFAOYSA-N,CC(C)n1c2c(n(C)c1=O)N=NC1C=C(F)C(c3ccc(COCCN(C)C)nc3)=CC21,10000.0,10000.0,10000.0,10000.0
CFMOL_005287,HGPOAXRSXRULKQ-ZDUSSCGKSA-N,CCn1ncc(-c2nc3c(O[C@H]4CCN(C(=O)c5nc(C(C)(C)O)no5)C4)ncnc3n2C)c1C,,,110.0,
CFMOL_005288,HGPRAKSVQZKWGC-UHFFFAOYSA-N,COc1cc2ncc3c(c2cc1-c1cnn(C)c1)n(-c1ccnc(C#N)c1)c(=O)n3C,30000.0,30000.0,30000.0,30000.0
CFMOL_005289,HGRWLGGMAIXTHF-ZDUSSCGKSA-N,CCn1c(-c2cnc(C)nc2)nc2c(N[C@@H](C)CC(=O)N3CCCC3)ncnc21,,,63.0,
CFMOL_005290,HGSPCVJTIYJJKQ-BMEKPBSDSA-N,C[C@@H](C1CC1)N1Cc2cc(-c3ccn4nc(N)c(C(=O)N[C@H]5CC[C@](O)(C(F)(F)F)CC5)c4n3)cc(NS(C)(=O)=O)c2C1=O,4030.0,9780.0,1060.0,2.1
CFMOL_005291,HGSPCVJTIYJJKQ-KCHWRIIZSA-N,C[C@@H](C1CC1)N1Cc2cc(-c3ccn4nc(N)c(C(=O)NC5CCC(O)(C(F)(F)F)CC5)c4n3)cc(NS(C)(=O)=O)c2C1=O,4030.000000000001,9780.0,1060.0,2.1
CFMOL_005292,HGTHXFQFBKLEHQ-AWEZNQCLSA-N,Cc1nc(-c2cc(-c3cc(Cl)c4c(c3)CN([C@@H](C)C3CC3)C4=O)ccn2)[nH]c1C,,,500.0,100.0
CFMOL_005293,HGTXRLXWYACZEB-UHFFFAOYSA-N,O=C(Nc1ccncc1)Nc1ccc(-c2nc(N3CC4CCC(C3)O4)c3cnn(C4CCC5(CC4)OCCO5)c3n2)cc1,220.0,,,
CFMOL_005294,HGTXSCABVKRXHD-UHFFFAOYSA-N,O=C(c1ccc(C(=O)C(F)(F)F)cc1)N1CCOc2ccc(-c3cn[nH]c3)cc2C1,1048.0,,,
CFMOL_005295,HGVLGUUPPJPJRR-UHFFFAOYSA-N,COc1cccc2c1nc(C(F)F)n2-c1nc(N2CCOCC2)cc(N2CCN(S(C)(=O)=O)CC2)n1,7.5,1000.0,212.0,
CFMOL_005296,HGVNLRPZOWWDKD-UHFFFAOYSA-N,FC(F)c1nc2ccccc2n1-c1nc(N2CCOCC2)nc(N2CCOCC2)n1,0.016,0.044,0.005,0.049
CFMOL_005297,HGWXDKQKTZYFSL-NSHDSACASA-N,C[C@H](Nc1nc(N)nc(N)c1C#N)c1cc2cccc(Cl)c2nc1-c1ccccn1,,,0.97,
CFMOL_005298,HGWXDKQKTZYFSL-UHFFFAOYSA-N,CC(Nc1nc(N)nc(N)c1C#N)c1cc2cccc(Cl)c2nc1-c1ccccn1,,,0.97,
CFMOL_005299,HGXPPCIYNXQXQM-JLBWCALKSA-N,Cc1ccc([C@](O)(CO)C(F)(F)F)cc1-c1cnc(N)c(C(=O)NC2CC(O)(C(F)(F)F)C2)n1,,,100.0,100.0
CFMOL_005300,HGXPPCIYNXQXQM-LJEMBRBBSA-N,[2H]C([2H])([2H])c1ccc([C@](O)(CO)C(F)(F)F)cc1-c1cnc(N)c(C(=O)NC2CC(O)(C(F)(F)F)C2)n1,,,100.0,100.0
CFMOL_005301,HHAPAAFKKUAWAI-UHFFFAOYSA-N,COc1ccc(Nc2cc3c(cn2)n(C)c(=O)n3C2CCCC2)c(C)c1,1092.0,226.0,3920.0,1780.0
CFMOL_005302,HHASSGIDQRQXQL-UHFFFAOYSA-N,OCc1cccc(-c2nc3nc(N4CCOCC4)nc(N4CCOCC4)c3[nH]2)c1,10.0,,,
CFMOL_005303,HHBBCKXNKNEFRQ-UHFFFAOYSA-N,Cc1ncc(-c2cc3c(C)nc(N)nc3s2)cc1NS(=O)(=O)c1ccc(F)cc1,9.3,,,
CFMOL_005304,HHCUKKXTPLKDBV-UHFFFAOYSA-N,COc1cc2c(c(-c3cnc(OC)c(NS(C)(=O)=O)c3)c1)CNC2=O,965.0,290.0,26.0,1620.0
CFMOL_005305,HHDYRXKUDYTQHA-UHFFFAOYSA-N,COc1cc(-c2nc(N3CCOCC3)c3nc(CN(C)c4ncc(C(=O)NO)cn4)n(C)c3n2)cc(OC)c1OC,10000.0,,,
CFMOL_005306,HHEABFUWPAVULN-UHFFFAOYSA-N,O=[N+]([O-])c1ccc(Nc2nccc(-c3ccc(F)cc3)n2)cc1,679.0,863.0,,247.0
CFMOL_005307,HHEIMHKJDACCAB-UHFFFAOYSA-N,Cc1ccc(S(C)(=O)=O)cc1-c1cnc2c(N)nc(C(=O)NC3CCCN(S(C)(=O)=O)C3)cn12,,,2000.0,100.0
CFMOL_005308,HHEZTSWNWDNXKB-UHFFFAOYSA-N,CCc1nc2ccccc2n1-c1nc(N2CCOCC2)c2nc(CN3CCN(C(C)(C)C(N)=O)CC3)n(C)c2n1,,,2.0,
CFMOL_005309,HHFHPZCNCGRYSA-UHFFFAOYSA-N,CCNC(=O)N1CC(c2c(C#N)c(Cl)cc(C(C)n3nc(C)c4c(N)ncnc43)c2OCC)C1,,10.0,10.0,
CFMOL_005310,HHGNILNGMHLHSG-WFFHQLTOSA-N,Cc1ccn2c1C(=O)N(c1ccccc1)C([C@H](C)Nc1ncnc(N)c1-c1ccc3cc[nH]c3c1)N2,,,3.0,
CFMOL_005311,HHHBMPPLMLWBCJ-CFSRXDOHSA-N,CCN(/C=C1/C(=O)O[C@H](COC)[C@@]2(C)C1=C(O)C(=O)C1=C2[C@H](OC(C)=O)C[C@]2(C)[C@@H](O)CC[C@@H]12)CCCN(C)C,12.0,,,
CFMOL_005312,HHHMVWCJYGXSMK-UHFFFAOYSA-N,COc1cc(Nc2nc3ccccc3nc2NS(=O)(=O)c2cccc(C(=O)NCCCN(C)C)c2)cc(OC)c1,,,30.0,
CFMOL_005313,HHHPAIPLLVZZFS-UHFFFAOYSA-N,CN(CC1OCCO1)C(=O)c1cc(Nc2ccccc2)cc(-c2ccnc(NC(=O)C3CC3)c2)c1,12000.0,39000.0,11000.0,4700.0
CFMOL_005314,HHITXZQNEBTKLH-LURJTMIESA-N,C[C@H](Nc1nc(N)nc(N)c1Cl)c1nc2c(Cl)cc(F)cc2c(=O)n1-c1cnc(N)cn1,,530.0,780.0,10000.0
CFMOL_005315,HHJDUJYJRMVBNS-UHFFFAOYSA-N,COc1ncc(-c2cc(OCCOc3ccc(C(=O)Nc4ccccc4N)cc3)c3ncnc(C)c3c2)cc1NS(=O)(=O)c1ccc(F)cc1F,0.58,,,
CFMOL_005316,HHKMVGPYMYLJAI-UHFFFAOYSA-N,NC(=O)c1cccc(-n2ncc3ccc(-c4cc(-c5ccnn5C5CCOCC5)c5c(N)ncnn45)cc32)c1,,,9.0,
CFMOL_005317,HHKYRCJXMBFIMX-CQSZACIVSA-N,COc1c(OC[C@H](O)CN2CCOCC2)ccc2c1N=C(NC(=O)c1cncs1)N1CCN=C21,,5.91,,
CFMOL_005318,HHLJTCIVMSRMAQ-UHFFFAOYSA-N,CCn1c(=O)c2nccn2c2ccc(C(=O)NCc3cccnc3)cc21,20000.0,,,
CFMOL_005319,HHLVSPKMPXSCLE-UHFFFAOYSA-N,Cc1ccc(C(O)(CO)C(F)(F)F)cc1-c1cnc(N)c(-c2cnsc2)n1,,,100.0,100.0
CFMOL_005320,HHOKAYOHVIAPCY-UHFFFAOYSA-N,Cn1c(Cc2nc(N3CCOCC3)cc(=O)[nH]2)nc2ccc(F)cc21,10000.0,289.0,1060.0,10000.0
CFMOL_005321,HHQYZOREIVKOIK-HNNXBMFYSA-N,CCn1c(-c2cnc(OC)c(NS(C)(=O)=O)c2)nc2c(O[C@H]3CCN(C(=O)C4CC4)C3)ncnc21,,,1.0,
CFMOL_005322,HHRCZUVDMACSEU-UHFFFAOYSA-N,CN(C)C(=O)N1CC(S(=O)(=O)c2cc(-c3cnc(N)nc3)cc(N3CCOCC3)c2)C1,120.0,,,
CFMOL_005323,HHSFFHPGHVJQOE-UHFFFAOYSA-N,Nc1cc(-n2c(Nc3cccc(O)c3)nc3ccccc32)ncn1,1000.0,,,
CFMOL_005324,HHWCQEVRICETMG-SHTZXODSSA-N,Cc1nc(N)nc2c1cc(-c1ccc(C#N)nc1)c(=O)n2[C@H]1CC[C@H](O)CC1,470.0,,,
CFMOL_005325,HHWCQEVRICETMG-UHFFFAOYSA-N,Cc1nc(N)nc2c1cc(-c1ccc(C#N)nc1)c(=O)n2C1CCC(O)CC1,470.0,,,
CFMOL_005326,HHWDJQYDXDBKRO-UHFFFAOYSA-N,COc1ncc(-c2ccc3ncc(-c4nnc(C)o4)n3c2)cc1NS(=O)(=O)c1ccc(F)cc1F,0.23,,,
CFMOL_005327,HHWJHMRRVGPBRZ-NSHDSACASA-N,COCCCn1c([C@H](C)Nc2ncnc(N)c2C#N)nc2cccc(Cl)c2c1=O,,,9.0,8400.0
CFMOL_005328,HHWXBBZKHRKTGT-JYJNAYRXSA-N,O=c1cc(N2C[C@@H]3C[C@H]2CO3)nc2n1CC[C@@H](C(F)(F)F)N2CC(O)(C1CC1)C1CC1,840.0,,,
