Molecule_ID,InChIKey,SMILES,alpha,beta,delta,gamma
CFMOL_010198,NGKMCGDSLLOVQU-INIZCTEOSA-N,Cc1nc(NC(=O)[C@@H](N)C(C)C)sc1-c1cnc(Cl)c(NS(=O)(=O)c2ccc(Cl)c(Cl)c2)c1,73.0,109.0,15.0,170.0
CFMOL_010199,NGMBEJKZRRVAGQ-UHFFFAOYSA-N,C=CCOc1cc(-c2cccc3c(=O)cc(N4CCOCC4)oc23)ccc1NC(=O)CN1CCOCC1,150.0,,,
CFMOL_010200,NGMZGAYDAAMLIH-IUXPMGMMSA-N,N#Cc1ccc(CN2C(=O)COc3ccc(/C=C4\SC(=S)NC4=O)cc32)cc1,,,,36.0
CFMOL_010201,NGNFOVFKYZYSGM-SFHVURJKSA-N,CCC(=O)N1CC[C@H](Oc2ccc3c(c2)N(c2ccc(S(=O)(=O)CC)nc2)CCO3)C1,9100.0,,118.0,
CFMOL_010202,NGNHIFNAYXAKDP-UHFFFAOYSA-N,Cn1nc(-c2cnc(N)c(-n3nnc4ccccc43)n2)nc1C1(Cc2ccccc2)CC1,199.53,2511.8900000000003,5.0,398.0
CFMOL_010203,NGPYJBHDUFFSRB-UHFFFAOYSA-N,CCn1ncc(-c2nc3c(-c4ccc5c(c4)C(C)(CC4CC4)C(=O)N5)ncnc3n2CC)c1C,,,4.0,
CFMOL_010204,NGQKZORGFHCWJH-UHFFFAOYSA-N,COCCN(C)Cc1cnc2oc3c(N4CCOCC4)nc(-c4cccc5[nH]ccc45)nc3c2c1,604.0,111.0,21.0,1820.0
CFMOL_010205,NGQXRJNJDOBMTN-UHFFFAOYSA-N,Cc1ccccc1Nc1ncc(C(=O)NC2COCC(O)C2)cc1NC(=O)c1csc2ccccc12,300.0,,,
CFMOL_010206,NGSFHDXBDLNNPM-UHFFFAOYSA-N,COc1c(C(C)n2nc(C)c3c(N)ncnc32)cc(Cl)c(C#N)c1C1CN(C(=O)NC(C)(C)C)C1,,10.0,10.0,
CFMOL_010207,NGSLMMWRXDECKJ-UHFFFAOYSA-N,Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)c1nc(-c2cnc3ccc(Cl)cn23)cs1.Cl,,170.0,,230.0
CFMOL_010208,NGSUGGPEIWGUBD-ZDUSSCGKSA-N,Cc1nc(NC(=O)N2CCC[C@H]2C(N)=O)sc1-c1ccnc(C2(C#N)CC2)c1,19.0,4100.0,2000.0,1100.0
CFMOL_010209,NGSVBOQNKNOEJK-UHFFFAOYSA-N,CCc1ncnc(-c2ccc(C(=O)N3CCN(Cc4ccccc4)CC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,658.0,,,
CFMOL_010210,NGUFXHKLJDXNHF-OAQYLSRUSA-N,COCCS(=O)(=O)Nc1cc(-c2cc3c(c(OC[C@H]4CN(C(C)C)CCO4)c2)COC3)cnc1OC,2511.8900000000003,1584.89,7.9,2511.8900000000003
CFMOL_010211,NGVYZJIXKBBXKW-UHFFFAOYSA-N,COCCN(C)C(=O)c1cncc(-c2ccnc(-c3nc(C)c(C)[nH]3)c2)c1,,,50.0,100.0
CFMOL_010212,NGWOIYBSLCMTEH-UHFFFAOYSA-N,CCc1ncnc(-c2ccc(C(=O)N3CCC4(CC3)CC(NC(=O)OC(C)(C)C)C4)c(F)c2)c1C#Cc1ccc(N)nc1,359.57,,,
CFMOL_010213,NGWSLJNYFUECRS-UHFFFAOYSA-N,CC(C)n1nc(-c2cc3ccc(C#N)cc3[nH]2)c2c(N)ncnc21,500.0,,,
CFMOL_010214,NGXVVGMCZMQXSB-UHFFFAOYSA-N,CC(=O)N1CCN(c2cccc(-c3cc(-c4ccnn4C4CCC(F)(F)CC4)c4c(N)ncnn34)c2)C(=O)C1(C)C,,,2.0,
CFMOL_010215,NGXZMXRHDTWOHB-UHFFFAOYSA-N,Cc1ccccc1Nc1ncc(C(=O)NC2CC(F)(F)C2)cc1NC(=O)c1cc(F)cc(C(F)(F)F)c1,100.0,,,
CFMOL_010216,NGZQIEWQLIAQMG-INIZCTEOSA-N,Cc1ccn2nc([C@H](C)Nc3ncnc(N)c3Sc3cccc(O)c3)n(-c3ccccc3)c(=O)c12,8400.0,950.0,1.8,45.0
CFMOL_010217,NHBBRIUKDQYOBQ-UHFFFAOYSA-N,CC(=O)Nc1nc2ccc(-c3cncc(S(C)(=O)=O)c3)c(C)n2n1,100000.0,25118.9,39810.7,1000.0
CFMOL_010218,NHCPHBUBBJODPU-UHFFFAOYSA-N,Cc1[nH]c(-c2cc(-c3cnn(Cc4ccc(Cl)cc4)c3)ccn2)nc1C#N,,,500.0,50.0
CFMOL_010219,NHCPTSSOJGCXRQ-INIZCTEOSA-N,C[C@H](Nc1nc(N)nc(N)c1C#N)c1nc2cccc(Cl)c2c(=O)n1C1CCN(Cc2ccccc2)CC1,,,21000.0,4200000.0
CFMOL_010220,NHCSOUAODWJXJW-UHFFFAOYSA-N,CNC(=O)c1ccc2c(c1)OCCn1cc(-c3ncnn3C(C)C)nc1-2,3.3,,,
CFMOL_010221,NHCWJMOMZJGWEI-UHFFFAOYSA-N,Cc1ccc(S(=O)(=O)NCc2cccn3c(=O)cc(N4CCOCC4)nc23)cc1,6500.0,7400.0,600.0,
CFMOL_010222,NHDVFRBLOMHRFW-UHFFFAOYSA-N,Cc1ccccc1Nc1c(NC(=O)c2csc3ccccc23)ccc2cc[nH]c12,5500.0,,,
CFMOL_010223,NHEYMDACJXWSHS-JBACZVJFSA-N,CN(C)CCOc1ccc(CCN2c3nc(N4C[C@@H]5C[C@H]4CO5)cc(=O)n3CC[C@H]2C(F)(F)F)cc1,380.0,,,
CFMOL_010224,NHFRWRZPNNFBRN-JTQLQIEISA-N,CC(=O)Nc1nc(C)c(-c2cc3c(c(S(N)(=O)=O)c2)C(=O)N([C@@H](C)C2CC2)C3)s1,6309.57,31622.800000000003,251.0,0.630957
CFMOL_010225,NHKZYIMWHDQJLJ-UHFFFAOYSA-N,Cc1ccc(C(O)(C(N)=O)C(F)(F)F)cc1-c1cnc2c(N)nc(C(=O)NCC(C)(C)O)cn12,,,500.0,100.0
CFMOL_010226,NHLIWIZYKRIPTN-UHFFFAOYSA-N,C=CC(=O)N1CCN(c2nc(C)nc3ccc(-c4cnc(OC)c(NS(=O)(=O)c5ccc(F)cc5F)c4)cc23)CC1,41.0,,160.0,
CFMOL_010227,NHLNPZZTMQBPOC-UHFFFAOYSA-N,CNC(=O)Nc1ccc(-c2ncc3c(n2)N2CCOCC2C(=O)N3CC2CC2)cc1,19.95,,,
CFMOL_010228,NHLSOFMOYDDMIY-UHFFFAOYSA-N,CNC(=O)NC1CCN(Cc2cc3nc(-c4cccc5[nH]ccc45)nc(N4CCOCC4)c3s2)CC1,3981.0,2511.8900000000003,158.0,6309.57
CFMOL_010229,NHMULOGKNRTRLR-UHFFFAOYSA-N,COc1c(C(C)n2cc(C)c3c(N)ncnc32)cc(Cl)c(C)c1-c1ccc(C(=O)N(C)C)nc1,,,10.0,
CFMOL_010230,NHNLCYMFAZRYLS-UHFFFAOYSA-N,[C-]#[N+]c1c(Cl)cc(C(C)n2nc(C)c3c(N)ncnc32)c(OCC)c1C1CN(C(C)(C)CO)C1,,,10.0,
CFMOL_010231,NHOGIGRHHZKFTF-HNNXBMFYSA-N,Cc1nc(Nc2cccc(N3CCCC3=O)n2)sc1-c1cc2c(c(S(=O)(=O)NC3COC3)c1)C(=O)N([C@@H](C)C(F)(F)F)C2,67.0,395.0,0.6,1.1
CFMOL_010232,NHPHOMUFAZESFM-UHFFFAOYSA-N,CC(=O)N1CCN(c2cc(-c3cc(-c4cnn(C)c4)c4c(N)ncnn34)ccc2C)C(=O)C1(C)C,,,2.0,
CFMOL_010233,NHPJVFROISKUBZ-UHFFFAOYSA-N,COc1ccc(-c2nn(C(C)c3nc4cccc(F)c4c(=O)n3-c3ccccc3)c3ncnc(N)c23)cc1F,,,61.0,
CFMOL_010234,NHPOQMANTBMXLJ-UHFFFAOYSA-N,Cc1nc(-c2cc(-c3cncc(C(=O)NC(C)(C)C)c3)ccn2)[nH]c1C,,,100.0,50.0
CFMOL_010235,NHPUSQZCTRCFKS-AWEZNQCLSA-N,Cc1cccc2cc([C@H](C)Nc3nc(N)ncc3Cl)n(-c3ccccc3)c(=O)c12,10000.0,10000.0,100.0,100.0
CFMOL_010236,NHQANRBDVNEUSG-UHFFFAOYSA-N,Nc1ncnn2c(-c3cccc(C(=O)N4CCOCC4)c3)cc(-c3ccnn3C3CCCCC3)c12,,,1.0,
CFMOL_010237,NHQOSODHGLNYEK-UHFFFAOYSA-N,O=C(Nc1ccc(-c2nc(N3CCOCC3)c3cnn(C4CCN(Cc5ccccc5)CC4)c3n2)cc1)Nc1cccnc1,55.0,,,
CFMOL_010238,NHRFGLFSRMGIPN-UHFFFAOYSA-N,COc1ccc(SC2(C(=O)O)CC(=O)NC2c2ccccc2C)cc1,5500.0,,,
CFMOL_010239,NHRGKNNAKIZEHT-VIFPVBQESA-N,C[C@H](Nc1nc(N)nc(N)c1Cl)c1nc2cccc(Cl)c2c(=O)n1C1CCNCC1,,,25000.0,10000000.0
CFMOL_010240,NHRWVYXOCMJUIS-UHFFFAOYSA-N,O=c1[nH]c2ncc(-c3ccc(-c4nnc[nH]4)cc3)nc2n1CC1CCOCC1,2600.0,,,
CFMOL_010241,NHTBEIFBWSUCGT-UHFFFAOYSA-N,CC(=O)N1CCN(c2cccc(-c3cc(-c4ccnn4CC(F)(F)F)c4c(N)ncnn34)c2)CC1,,,5.5,
CFMOL_010242,NHVIVHOKRQQUSW-UHFFFAOYSA-N,CN1CCN(c2ccc3ncc(-c4ccc5oc(N)nc5c4)cc3n2)CC1,,,10000.0,10000.0
CFMOL_010243,NHVJDLGBUFSTGW-UHFFFAOYSA-N,CCn1c(C(F)F)nc2c(-c3ccc4c(c3)C3(CCCN3C(=O)C3CC3)C(=O)N4)ncnc21,,,5.0,
CFMOL_010244,NHVLGNWTCHLWIV-ZDUSSCGKSA-N,Cc1nc(N)nc(N[C@@H](C)c2nc3cccc(Cl)c3c(=O)n2-c2ccccc2)c1C#N,,,0.1,
CFMOL_010245,NHVRTFULNWHSNZ-INIZCTEOSA-N,N#Cc1c(N)nc(N)nc1N[C@H](c1nc2c(Cl)ccc(Cl)c2c(=O)n1-c1cccnc1)C1CC1,,,0.6,
CFMOL_010246,NHWFVNOIKRQDST-UHFFFAOYSA-N,COc1ccc(-c2ccc3ncc(C(=O)N4CCOCC4)n3c2)cc1S(=O)(=O)Nc1ccccc1,10000.0,10000.0,10000.0,10000.0
CFMOL_010247,NHXJQCWCZDMUMV-UHFFFAOYSA-N,Cn1c(-c2cnc(C(C)(C)C)s2)nc2c(OC3CCN(C(=O)OC(C)(C)C)C3)ncnc21,,,6.8999999999999995,
CFMOL_010248,NHXJVEZVWBQWIG-UHFFFAOYSA-N,Cc1c(Cl)cc(C(C)n2nc(C)c3c(N)ncnc32)c(OCC2CC2)c1-c1ccc(C(=O)N(C)C)nc1,,,10.0,
CFMOL_010249,NHXSXYJRGCSCSS-CYBMUJFWSA-N,COc1ncc(-c2cc3c(N4CCOC[C@H]4C)ncnc3s2)cc1NS(=O)(=O)c1ccc(F)cc1F,14.0,,,
CFMOL_010250,NHXSXYJRGCSCSS-ZDUSSCGKSA-N,COc1ncc(-c2cc3c(N4CCOC[C@@H]4C)ncnc3s2)cc1NS(=O)(=O)c1ccc(F)cc1F,11.0,,,
CFMOL_010251,NHZNKBZVYZJRBB-UHFFFAOYSA-N,Cc1ccc(S(=O)(=O)N2CCC3(CCCO3)C2)cc1-c1cnc2c(N)ncnn12,,,2000.0,500.0
CFMOL_010252,NHZTZOWHFHJNQD-UHFFFAOYSA-N,O=C(Nc1ccc(-c2nc(C3CCOCC3)nc(N3C4CCC3COC4)n2)cc1)Nc1ccc(N2CCNCC2)cc1,294.0,,,
CFMOL_010253,NHZVHHAMKTUMFU-INIZCTEOSA-N,N#Cc1ccc(F)c2nc([C@@H](Nc3nc(N)nc(N)c3Cl)C3CC3)n(-c3cccnc3)c(=O)c12,,,380.0,
CFMOL_010254,NICDXIDBVZCYOJ-UHFFFAOYSA-N,Nc1ncnn2c(-c3ccnc(N4CCN(C5COC5)CC4)c3)cc(-c3ccnn3C3CCOCC3)c12,,,0.8,
CFMOL_010255,NIDKHJQDPZSAOJ-UHFFFAOYSA-N,Cc1ccc(C(O)(C(N)=O)C(F)(F)F)cc1-c1cnc(N)c(-c2ccc(CC#N)cc2)n1,,,100.0,100.0
CFMOL_010256,NIDQRYIFGQNUHN-UHFFFAOYSA-N,CN(C)C(=O)C1CCC(Oc2nc(-c3cccc4[nH]ncc34)nc(N3CCOCC3)n2)CC1,60.0,,,
CFMOL_010257,NIDQRYIFGQNUHN-WKILWMFISA-N,CN(C)C(=O)[C@H]1CC[C@H](Oc2nc(-c3cccc4[nH]ncc34)nc(N3CCOCC3)n2)CC1,60.0,,,
CFMOL_010258,NIEJAAFQUJQWCL-UHFFFAOYSA-N,COc1ncc(N2CCOCC2)cc1S(=O)(=O)N(COC(=O)C(C)(C)C)c1ccnc(-c2ccc(CN3CCN(C(C)C)CC3)cc2F)c1,10000.0,10000.0,10000.0,10000.0
CFMOL_010259,NIEPDTOTZNFPKS-UHFFFAOYSA-N,Cc1ccccc1Nc1ncc(C(=O)NC(C)c2ccccc2)cc1NC(=O)c1csc2ccccc12,100.0,,,
CFMOL_010260,NIFBGSFNHVDRNQ-UHFFFAOYSA-N,COc1c(C(C)n2ccc(=O)c3c(N)ncnc32)cc(Cl)c(C)c1C1CN(C(C)C)C1,,10.0,10.0,
CFMOL_010261,NIFDYLMXHVDYSD-UHFFFAOYSA-N,O=C(NCc1cccnc1)c1cccn2c(=O)cc(N3CCOCC3)nc12,6500.0,10000.0,10000.0,
CFMOL_010262,NIFJNLTXXJIUNG-UHFFFAOYSA-N,O=C(c1ccccc1)c1cccc(NC(=O)c2cc3ccccc3[nH]2)c1,55000.0,,,
CFMOL_010263,NIGGPHOUZYQQAL-GHXNOFRVSA-N,O=C1NC(=O)/C(=C/c2ccc(-c3cccc(O)c3)o2)S1,1800.0,,,290.0
CFMOL_010264,NIGGPHOUZYQQAL-UHFFFAOYSA-N,O=C1N=C(O)SC1=Cc1ccc(-c2cccc(O)c2)o1,1800.0,,,290.0
CFMOL_010265,NIGPJSZQNRBMCU-UHFFFAOYSA-N,COc1ccc(CCCO)c(Nc2nc3ccccc3nc2NS(=O)(=O)C(C)C)c1,,,,72.0
CFMOL_010266,NIHCXRYTEPYQNP-UHFFFAOYSA-N,c1cc(-c2cc(N3CCOCC3)nc(NCCc3ccncc3)n2)c2cn[nH]c2c1,440.0,,,
CFMOL_010267,NIHHQWZEUOCDGK-UHFFFAOYSA-N,CN(C)CCn1ncc2c(N3CC4CCC(C3)O4)nc(-c3ccc(NC(=O)Nc4cccnc4)cc3)nc21,235.0,,,
CFMOL_010268,NIIYHUNRXQLMBG-UHFFFAOYSA-N,Nc1nc2cc(-c3nn(CC4CCCO4)c4ncnc(N)c34)ccc2o1,44.0,1120.0,149.0,77.0
CFMOL_010269,NIJFKIZOLGBDPD-INIZCTEOSA-N,Cc1csc2cc([C@H](C)Nc3ncnc(N)c3C#N)c(-c3cccc(CCN(C)C)c3)c(=O)n12,1258.93,50.0,0.7943,1000.0
CFMOL_010270,NIJSHLJWHLHONN-ZDUSSCGKSA-N,C[C@H](Nc1ncccc1C#N)c1nn(-c2cccnc2)c2cc(F)ccc12,,,10000.0,
CFMOL_010271,NIJVOLUGPIMJSY-IBGZPJMESA-N,COc1ncc(N2CCOc3ccc(O[C@H]4CCN(C(=O)C5CCS(=O)(=O)CC5)C4)cc32)cc1C(F)F,124.0,,6.0,
CFMOL_010272,NIKPHVZOEIFTDE-UHFFFAOYSA-N,CCN1CCN(c2nc3ccccc3cc2Cn2nc(-c3cc(O)cc(F)c3)c3c(N)ncnc32)CC1,,,100.0,1000.0
CFMOL_010273,NIKZHXWCQGUKKR-UHFFFAOYSA-N,Cc1ccccc1Cn1ccn2c(=O)cc(N3CCOCC3)nc12,4000.0,40.0,200.0,5000.0
CFMOL_010274,NIMVEUQOIQWOLF-QFIPXVFZSA-N,Cc1nc2sc1-c1cc3c(c(c1)S(=O)(=O)Nc1ccc(cc1)CN(C)CCCCNC(=O)c1cccc(n1)N2)C(=O)N([C@@H](C)C1CC1)C3,,,1.0,10.0
CFMOL_010275,NINVBILEFXQJHH-UHFFFAOYSA-N,CCOC(=O)N1CCC(Sc2ncnc3c2nc(-c2cnn(CC)c2C)n3C)C1,,,37.0,
CFMOL_010276,NINVMPFXCFRRST-OAHLLOKOSA-N,CC(C)c1cnc(-c2cnc(N3CCN(C(=O)C4CC4)[C@H](C)C3)nc2-c2cnn(C)c2)o1,,,410.0,
CFMOL_010277,NIOGVABEDZLBHH-UHFFFAOYSA-N,COc1nc(=O)c2sc(N3CCOCC3)nc2n1Cc1cccc(Cl)c1C,1600.0,0.3,10.0,400.0
CFMOL_010278,NIPMVVFYWRKIKF-UHFFFAOYSA-N,Nc1nc2cc(-c3ccc4sc(N)nc4c3)ccc2o1,10000.0,1000.0,10000.0,1000.0
CFMOL_010279,NIPPIUIAOFIFTD-SFHVURJKSA-N,C[C@H](NC(=O)c1c(N)nn2cccnc12)c1cc2cccc(C#Cc3ccn[nH]3)c2c(=O)n1-c1ccccc1,2000.0,2000.0,2000.0,2000.0
CFMOL_010280,NIPPIUIAOFIFTD-UHFFFAOYSA-N,CC(NC(=O)c1c(N)nn2cccnc12)c1cc2cccc(C#Cc3ccn[nH]3)c2c(=O)n1-c1ccccc1,2000.0,2000.0,2000.0,3000.0
CFMOL_010281,NIQCEDKXMWXUTO-UHFFFAOYSA-N,CC(=O)N1CCN(c2cc(-c3cc(C(F)(F)F)c4c(N)ncnn34)ccc2C(=O)NCCCO)C(=O)C1(C)C,,,6.0,
CFMOL_010282,NIQJRFJYORDEIO-UHFFFAOYSA-N,CC(C)n1cc(-c2cccc(O)c2)c2c(N)ncnc21,3800.0,50000.0,2900.0,6400.0
CFMOL_010283,NIQNYGCQGCERBQ-UHFFFAOYSA-N,Cc1ccc(-c2ccn3nc(N)nc3c2)c(F)c1C(=O)NCCC(C)(C)c1ccc(Cl)cc1,,,15000.0,
CFMOL_010284,NIQOMBZMCCLAGW-XVDPQKCLSA-N,COc1cc(F)ccc1[C@H](O)CN1c2nc(N3CC4CCC(C3)O4)cc(=O)n2CC[C@H]1C(F)(F)F,810.0,,,
CFMOL_010285,NIQXEVVRDTYZBT-UHFFFAOYSA-N,CCC(Nc1ncnc(N)c1C#N)C1=Nc2cccc(F)c2S(=O)(=O)N1c1ccccc1,,,141.0,
CFMOL_010286,NISFXAQFVRZQGV-UHFFFAOYSA-N,Nc1nc2cc(C3CCc4ncc(-c5ccc(N6CCOCC6)nc5)n4C3)ccc2o1,100.0,1000.0,1000.0,1000.0
CFMOL_010287,NISIMEQNWFBRKD-UHFFFAOYSA-N,Cc1nc(-c2cc(-c3cncc(C(=O)N4CCC(CCO)C4)c3)ccn2)[nH]c1C,,,50.0,100.0
CFMOL_010288,NISINSDPCKGKBV-UHFFFAOYSA-N,O=S(=O)(Nc1cc(-c2ccc3ncc(NCCc4ccccc4)nc3c2)cnc1Cl)c1ccc(F)cc1,241.0,,,
CFMOL_010289,NIVXGBRKBHYJEH-UHFFFAOYSA-N,Cc1ccc(S(=O)(=O)NC2(C)CCN(C)CC2)cc1-c1cnc2c(N)nc(C(F)(F)F)nn12,,,100.0,100.0
CFMOL_010290,NIWBUWMZKOEJTN-UHFFFAOYSA-N,CCC(=O)N1CCN(S(=O)(=O)c2cccc(Nc3ncc4c(n3)N(C)c3ccc(C)cc3C(=O)N4C)c2)CC1,70.0,610.0,1.7,11.0
CFMOL_010291,NIZRMSMNHMOGRS-BKUYFWCQSA-N,CN(C)C(=O)c1cccc(-c2ccnc3c2c(/C=C2\Oc4cccc(O)c4C2=O)cn3C)c1,369.0,,,
CFMOL_010292,NIZYKSCTQPOPRY-UHFFFAOYSA-N,COc1c(C(C)n2nc(C)c3c(N)ncnc32)cc(Cl)c(C)c1C1CNC(=O)O1,,10.0,10.0,
CFMOL_010293,NIZYLPQHSUYTBR-UHFFFAOYSA-N,Cc1cc2oc(N)nc2cc1-c1ccc2ncc(C(=O)N3CCOCC3)n2c1,10000.0,10000.0,10000.0,10000.0
CFMOL_010294,NJBHGHCXFKRNNJ-UHFFFAOYSA-N,Cc1ccc(S(=O)(=O)NCC2CCC(F)(F)CC2)cc1-c1cnc2c(N)ncnn12,,,2000.0,100.0
CFMOL_010295,NJFPAGGSHFZGCM-UHFFFAOYSA-N,CN(C)CC(=O)N1CCN(Cc2cn3cc(-c4cnc(N)nc4)nc(N4CCOCC4)c3n2)CC1,34.0,,,
CFMOL_010296,NJHBDBMNPRTKHC-INIZCTEOSA-N,COc1ncc(N2CCc3ncnc(O[C@H]4CCN(C(=O)c5ccon5)C4)c3C2)cc1C,1967.0,,18.0,
CFMOL_010297,NJJKJXBEYXFHCH-UHFFFAOYSA-N,CC(C)n1nncc1-c1cc(-c2cccc(-c3ccn(C)c(=O)c3)c2)n2ncnc(N)c12,,,2.0,
CFMOL_010298,NJKKMSUDZCOVRL-NWDGAFQWSA-N,CC(C)[C@H]1C[C@H](O)CN1C(=O)C1CCOCC1,,,2.0,
CFMOL_010299,NJKUDJWVKYMADV-UHFFFAOYSA-N,Nc1nc2cc(-c3nc(NC4CCC(C(F)(F)F)CC4)nc(N4CCOCC4)n3)ccc2o1,703.0,,,
CFMOL_010300,NJLLCEWJQVKOJB-ZETCQYMHSA-N,C[C@H](Nc1nc(N)nc(C(F)F)c1C#N)c1nc2c(Cl)cc(F)cc2c(=O)n1-c1cnc(N)cn1,,720.0,30.0,10000.0
CFMOL_010301,NJMAIKHTXWEVMX-UHFFFAOYSA-N,CCn1c(-c2cnc(C)nc2)nc2c(-c3ccc4c(c3)C(C)(NC3CCOCC3)C(=O)N4)ncnc21,,,28.0,
CFMOL_010302,NJMAKVOOHXPUHY-INIZCTEOSA-N,C[C@H](Nc1ncnc(N)c1C#Cc1ccc(C(=O)O)cn1)c1nc2cccc(Cl)c2c(=O)n1-c1ccccc1,1000.0,1000.0,100.0,1000.0
CFMOL_010303,NJMVVKSDTMRUPW-UHFFFAOYSA-N,CNC(=O)c1ccc(-c2c(C)c(Cl)cc(C(C)n3nc(C)c4c(N)ncnc43)c2OC)cc1F,,10.0,10.0,
CFMOL_010304,NJNBIJBJVOTCJL-SFHVURJKSA-N,C[C@H](NC(=O)c1c(N)nn2cccnc12)c1cc2cccc(OCc3cnn(C)c3)c2c(=O)n1-c1ccccc1,,,5500.0,750.0
CFMOL_010305,NJNVCRQDBBXSPC-UHFFFAOYSA-N,COc1ccc(-c2nn3c(-c4ccc(C#N)nc4)cnc3s2)cc1OC,63.0,,,
CFMOL_010306,NJPJPESOUGQOMJ-UHFFFAOYSA-N,COCCN1CC(=O)Nc2ncc(-c3ccc(C(C)(C)O)nc3)nc21,10500.0,,,
CFMOL_010307,NJPREVBONORNSK-UHFFFAOYSA-N,COc1ncc(-c2ccc3ncc(C(=O)N4CCOCC4)n3c2)cc1NS(=O)(=O)c1ccccc1,100.0,10000.0,1000.0,1000.0
CFMOL_010308,NJQQDNUWDJNASH-UHFFFAOYSA-N,CC(Nc1ccccc1)c1cc(C(=O)N(C)C)cn2c(=O)cc(N3CCOCC3)nc12,560.0,11.0,110.0,6000.0
CFMOL_010309,NJSIMMOCWLXBCY-INIZCTEOSA-N,C[C@H](Nc1ncnc(N)c1C#Cc1cccc(C(F)(F)F)n1)c1nc2cccc(Cl)c2c(=O)n1-c1ccccc1,1000.0,550.0,100.0,550.0
CFMOL_010310,NJTBXYWHSOIWSV-VIFPVBQESA-N,CNS(=O)(=O)c1cc(-c2sc(NC(C)=O)nc2C)cc2c1C(=O)N([C@@H](C)C(F)(F)F)C2,,,,1.0
CFMOL_010311,NJUJSAGXHMMPNV-ZDUSSCGKSA-N,C[C@H](Nc1ncnc2[nH]ccc12)c1nc2cccc(F)c2c(=O)n1-c1cccc(OCC(F)(F)C(F)(F)F)c1,10000.0,10000.0,190.0,4500.0
CFMOL_010312,NJURNPJCAKOZRH-NSHDSACASA-N,C[C@H](NC(=O)c1c(N)nn2cccnc12)c1nc2cccc(Cl)c2c(=O)n1-c1ccc(F)c(F)c1,,,5500.0,750.0
CFMOL_010313,NJWJXNZNBVLSDN-UHFFFAOYSA-N,COc1c(OCC(O)CN2CCOCC2)ccc2c1N=C(NC(=O)c1cnc(N)nc1)N1CCN=C21,,8.3,,
CFMOL_010314,NJXDVWJTIOHBGS-NSHDSACASA-N,C[C@@H](C1CC1)N1Cc2cc(-c3ccn4nc(N)c(C(=O)NC5CC5)c4n3)cc(OC(F)F)c2C1=O,602.0,,2120.0,1.8
CFMOL_010315,NJXVAAHYUFZELV-UHFFFAOYSA-N,CC(C)N1CCOc2c(F)cc(-c3nc(Nc4ccc(N5CCCNCC5)cn4)ncc3F)cc21,,,50000.0,
CFMOL_010316,NJZBNLVCEXZHPD-IBGZPJMESA-N,CN(C)CCCOc1ccc(-c2ccc3ncc4c(c3c2)n([C@H]2CCOC2)c(=O)n4C)cn1,260.0,,,
CFMOL_010317,NJZBNLVCEXZHPD-LJQANCHMSA-N,CN(C)CCCOc1ccc(-c2ccc3ncc4c(c3c2)n([C@@H]2CCOC2)c(=O)n4C)cn1,560.0,,,
CFMOL_010318,NKBGMLOQTKRJCU-UHFFFAOYSA-N,O=C(Nc1ccc(-c2nc(N3CC4CCC(C3)O4)c3cnn(CC(F)(F)F)c3n2)cc1)Nc1ccc(N2CCNCC2)cc1,76.0,,,
CFMOL_010319,NKBMPYMXGUCXGP-OYOVHJISSA-N,Cc1ccc(S(=O)(=O)N[C@H]2CC[C@](C)(O)CC2)cc1-c1cnc2c(N)ccnn12,,,2000.0,500.0
CFMOL_010320,NKBMPYMXGUCXGP-UHFFFAOYSA-N,Cc1ccc(S(=O)(=O)NC2CCC(C)(O)CC2)cc1-c1cnc2c(N)ccnn12,,,2000.0,500.0
CFMOL_010321,NKELAMNRVSBFNL-INIZCTEOSA-N,Cc1c(N2CCC3(CC2)CC3)oc2c([C@H](C)Nc3ccccc3C(=O)O)cc(F)cc2c1=O,500.0,,,
CFMOL_010322,NKEOJSNDAJRSLU-DITCHVNVSA-N,Nc1ncnc(N2CCCC[C@H]2C2NC3CCCC(Cl)C3C(=O)N2c2ccccc2)c1C#Cc1ccccn1,1000.0,1000.0,550.0,1000.0
CFMOL_010323,NKHYDJIOTHOHQD-UHFFFAOYSA-N,Nc1nc(C(F)(F)F)cn2c(-c3ccc(F)c(S(=O)(=O)NC45CCC(CO)(C4)C5)c3)cnc12,,,500.0,100.0
CFMOL_010324,NKIAHMJFHOLVOQ-DTIOYNMSSA-N,CC(CCO)n1c([C@H](C)Nc2ncnc(N)c2C#N)nc2cccc(Cl)c2c1=O,,,4.0,2900.0
CFMOL_010325,NKJYYWGDGSKPEW-LPYMAVHISA-N,CN(C)CCOc1ccc([N+](=O)[O-])cc1S(=O)(=O)N(C)/N=C/c1cnn2ccc(C#N)cc12,,1000.0,1000.0,
CFMOL_010326,NKLIITQXKFRLOS-UHFFFAOYSA-N,COc1ccc(-c2nn(C(C)c3nn(-c4cccc(S(C)(=O)=O)c4)c4cc(Cl)ccc34)c3ncnc(N)c23)cc1F,,,10.7,
CFMOL_010327,NKLXDFBUHFNMKK-UHFFFAOYSA-N,CCn1cccc(C(=O)Nc2cc(C(=O)NC)cnc2Nc2ccccc2C)c1=O,55000.0,,,
